"","a_log","a12","h12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"50","-2","-5e-05","-2e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","443"
"51","-2","-0.00035","-0.00035","-5","0.2","0.2","NaN","-1.24640048702345","-0.000487328047654331","-5.07530313307195","5.30873159618595e-05","0.483473345753891","0.265115054189912","0","2901.13947777788","-1431.81981316216","33"
"52","-1.5","-0.00035","1e-04","-3","0.2","0.2","NaN","-1.20571751815857","-0.000552332929775114","-2.99611878674997","-0.000214655955513778","0.448576379188637","0.280875077964263","0","2922.99963166217","-1442.7498901043","359"
"53","-2.5","-5e-04","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","502"
"54","-1","1e-04","1e-04","-5","0.2","0.2","NaN","-1.01087089955229","-0.000713931190923141","-4.83980206217712","0.000108871399126026","0.453639909743553","0.279880467404048","0","2956.03672744031","-1459.26843799338","125"
"55","-2","1e-04","-5e-05","-3","0.2","0.2","NaN","-1.17337902650406","-0.000627917120188028","-2.93440407546294","-0.0002228311027675","0.45213901347174","0.280708970368418","0","2930.81004769483","-1446.65509812064","348"
"56","-2","-0.00035","-2e-04","-3","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","308"
"57","-1.5","-5e-05","-5e-04","-1","0.2","0.2","NaN","-1.70735077428485","-0.00434653742123071","-0.991609569230206","-0.142883760949418","0.659106247673328","0.302280727136796","0","3354.5856850604","-1658.54291680342","519"
"58","-1.5","-0.00035","-5e-04","-5","0.2","0.2","NaN","21.156305277072","3.08326612846911","2.42198013433414","-51.9185274230822","0.692885143968166","0.28062566451163","0","3372.85324972256","-1667.6766991345","9"
"59","-3","1e-04","1e-04","-1","0.2","0.2","NaN","-2.84653003820972","-0.00134894856985909","-1.12557474864663","-0.252755897177334","0.704826946697571","0.282186186456625","0","3346.57751588464","-1654.53883221554","621"
"60","-2","-2e-04","-0.00035","-1","0.2","0.2","NaN","-1.99435431091026","-0.00329267798527284","-1.00059648659399","-0.236747171758635","0.702268467457117","0.290932519314865","0","3344.5483808644","-1653.52426470542","538"
"61","-1.5","-5e-04","-0.00035","-1","0.2","0.2","NaN","-1.61870492780208","0.01414575294129","-0.979171540081251","-0.310611861689339","0.710153226785001","0.283389558533779","0","3364.5271288049","-1663.51363867567","529"
"62","-1.5","1e-04","1e-04","-2","0.2","0.2","NaN","-1.77210633032431","-0.00192557086903772","-1.840369816982","-0.182479175061585","0.696672577833778","0.277684759033668","0","3335.26426866489","-1648.88220860567","499"
"63","-2.5","-0.00035","-0.00035","-4","0.2","0.2","NaN","-2.37562720481216","-0.00313084489223045","-4.09504628116025","-0.109610734421852","0.681950145423761","0.273079732876585","0","3314.53587105704","-1638.51800980174","157"
"64","-2.5","-2e-04","-5e-04","-5","0.2","0.2","NaN","-2.56297220726617","0.000272442164382201","-4.87605682670201","2.9892986599248e-05","0.760204507707202","0.254296024723766","0","3205.99476425763","-1584.24745640204","12"
"65","-1","1e-04","-0.00035","-3","0.2","0.2","NaN","-1.22973594752074","-0.000524893065605875","-3.17173194201561","-0.000178075147561189","0.625273083880569","0.262496900768286","0","3013.67424057833","-1488.08719456239","300"
"66","-2.5","-5e-04","-2e-04","-3","0.2","0.2","NaN","-2.46799912262382","-0.001962318558775","-3.14735939500806","-0.160772056908261","0.67618542897116","0.281167673532441","0","3335.94520402224","-1649.22267628434","302"
"67","-3","-5e-04","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","526"
"68","-3","-5e-05","-5e-05","-3","0.2","0.2","NaN","-2.95818431064651","-0.00177905542510343","-3.04296893015405","-0.217047018555733","0.672272999808189","0.276219075862106","0","3309.01880368777","-1635.7594761171","341"
"69","-3","1e-04","-0.00035","-4","0.2","0.2","NaN","-2.73599261142546","0.000356203497570611","-8.80620025146485","6.49964330327925e-05","0.502465094055756","0.290610957600793","0","3097.81353373022","-1530.15684113833","171"
"70","-2.5","-5e-05","-0.00035","-2","0.2","0.2","NaN","-2.56209421568963","-0.000837995438411211","-2.13880193186003","-0.129155183265699","0.721881006721648","0.271408735972889","0","3335.03041916733","-1648.76528385689","417"
"71","-1.5","1e-04","-5e-05","-3","0.2","0.2","NaN","-1.49316049980953","-0.000433502894213432","-3.00216442260915","-0.000219814342751428","0.463987406943977","0.281051834219752","0","2958.2371154481","-1460.36863199727","349"
"72","-1.5","-2e-04","-0.00035","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","164"
"73","-1","-0.00035","1e-04","-2","0.2","0.2","NaN","-1.03476268087489","-0.0087603997803684","-2.15162127750562","-0.207202438787258","0.744285165456236","0.276004651241132","0","3392.65659412466","-1677.57837133555","485"
"74","-3","1e-04","-0.00035","-1","0.2","0.2","NaN","-2.91328818630807","-0.00125856949448054","-1.13244852995253","-0.2609495971806","0.698111944111895","0.285064430144264","0","3345.90943582721","-1654.20479218683","546"
"75","-2.5","-0.00035","-0.00035","-5","0.2","0.2","NaN","-1.15963777069018","-0.000557971200911606","-4.34785958242379","-4.74785200189584e-06","0.54918706752259","0.245439438294953","0","2954.27135664876","-1458.3857525976","32"
"76","-2.5","-5e-05","-0.00035","-4","0.2","0.2","NaN","-2.40291415714941","0.00019141201321981","-3.96689862596135","-8.11431152972542e-06","0.496580961952695","0.279750594895869","0","3074.19332265574","-1518.34673560109","167"
"77","-1","-5e-05","1e-04","-3","0.2","0.2","NaN","-0.999333246848529","-0.000766655026354862","-2.88019104462272","-0.00022699439068713","0.503033573384808","0.276676027093913","0","2957.03949270563","-1459.76982062604","370"
"78","-3","-2e-04","1e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","236"
"79","-2.5","-0.00035","-2e-04","-3","0.2","0.2","NaN","-2.43711456927598","-0.000418484930361858","-3.13541505355945","-0.157315879019826","0.689406687285847","0.285061523023674","0","3338.88943309528","-1650.69479082086","307"
"80","-1.5","-2e-04","-5e-05","-3","0.2","0.2","NaN","-1.29152151785142","-0.000481415394826582","-4.11026721683227","-4.30093818666334e-05","0.421269394360889","0.282951031138451","0","2861.64962475804","-1412.07488665224","339"
"81","-2","-5e-04","-0.00035","-2","0.2","0.2","NaN","-2.05774378718204","-0.059524973865535","-1.64730587091661","-0.339064239967206","0.678802037155087","0.280082172480076","0","3362.55410815569","-1662.52712835107","403"
"82","-1.5","-0.00035","-5e-05","-4","0.2","0.2","NaN","-1.50011295312528","-0.000297774266454924","-4.6475938474732","-6.78622073177958e-06","0.42488095657363","0.280881058989475","0","2867.15000941192","-1414.82507897918","209"
"83","-2.5","-5e-05","1e-04","-5","0.2","0.2","NaN","-1.35243545447999","-0.000411124401657292","-4.35942468255451","-2.08387841007719e-05","0.421651557960517","0.280795209576816","0","2859.09343010796","-1410.7967893272","117"
"84","-1","1e-04","1e-04","-1","0.2","0.2","NaN","-1.22095193681006","-0.00123271651096526","-1.17939324165838","-0.00212319441307511","0.561269823215694","0.287205201031414","0","3178.92144657147","-1570.71079755896","625"
"85","-1","-0.00035","-5e-05","-3","0.2","0.2","NaN","-0.995447010648046","-0.000759263840727534","-3.00421015283333","-0.000194216834187323","0.455632482826877","0.280863245249445","0","2939.49342437926","-1450.99678646285","335"
"86","-2.5","-0.00035","1e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","107"
"87","-1.5","-5e-05","-2e-04","-1","0.2","0.2","NaN","-1.31459676395823","0.0419815543935776","-0.900275632457818","-0.333306719555953","0.678463719017377","0.279397170148367","0","3359.95770540114","-1661.22892697379","569"
"88","-1.5","-5e-04","-5e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","379"
"89","-2","-0.00035","-5e-05","-1","0.2","0.2","NaN","-1.99062585470947","-0.00329063854512434","-1.03991167540467","-0.209457313582721","0.689422004811805","0.283740435019894","0","3343.62169997864","-1653.06092426254","583"
"90","-1","-5e-04","-5e-04","-4","0.2","0.2","NaN","-1.01401824537773","-0.000709784307630817","-3.53914483120106","-8.96755736957713e-05","0.451976236535398","0.280279198189553","0","2913.31473772986","-1437.90744313815","130"
"91","-1","-5e-04","-2e-04","-5","0.2","0.2","NaN","-0.908070723806049","-0.000840998470404205","-4.69074704774513","0.000142465733611491","0.68031574646458","0.26781472235653","0","3099.67975901003","-1531.08995377823","55"
"92","-2.5","-5e-05","1e-04","-2","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","492"
"93","-3","-5e-04","-5e-05","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","451"
"94","-2.5","-5e-04","-2e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","427"
"95","-2","-5e-04","-5e-05","-4","0.2","0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","203"
"96","-2.5","-0.00035","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","532"
"97","-3","-5e-04","-0.00035","-2","0.2","0.2","NaN","-3.73066008258894","0.0166409641355901","-2.16104297118238","-0.361322412038232","0.681094651705637","0.278868115931689","0","3365.12807289193","-1663.81411071919","401"
"98","-1","-0.00035","-5e-05","-4","0.2","0.2","NaN","-1.11508709142242","-0.000627947207536276","-3.49269201366791","-0.000105704194498225","0.435576301075294","0.281577650639508","0","2891.85975618","-1427.17995236322","210"
