"","a_log","a12","h12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","h12.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"81","-2","-5e-04","-0.00035","-2","0.2","0.2","NaN","-2.05634914281337","-0.00038948102532263","-4.09036397934222","0.00284600756304248","0.235649073342369","0.242753561340371","0","1879.40044863603","-920.859036801132","403"
"82","-1.5","-0.00035","-5e-05","-4","0.2","0.2","NaN","-1.90192559219118","-0.000312893982169671","-2.12048196525231","-0.000241785936028806","0.231247802904686","0.272847966387242","0","1831.50522863933","-896.911426802785","209"
"83","-2.5","-5e-05","1e-04","-5","0.2","0.2","NaN","-2.27893859691071","-0.000203479798920999","-3.476721927277","0.000120261131504838","0.21285577300627","0.242386725746675","0","1766.68035095145","-864.498987958845","117"
"84","-1","1e-04","1e-04","-1","0.2","0.2","NaN","-1.44368818411499","-0.00103401242611031","-0.851130827905425","0.0770277495469288","0.277992601282867","0.240115992097332","0","2072.61434586179","-1017.46598541402","625"
"85","-1","-0.00035","-5e-05","-3","0.2","0.2","NaN","-1.479774579756","-0.00145847251287849","-2.86783854382951","0.109405884696213","0.278959471569349","0.237754746055737","0","2066.79329072922","-1014.55545784773","335"
"86","-2.5","-0.00035","1e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","107"
"87","-1.5","-5e-05","-2e-04","-1","0.2","0.2","NaN","-2.51557843723174","-0.000149298784425551","-2.67570627258186","-0.000232366063700058","0.227646780317836","0.240500797265478","0","1798.91319935478","-880.615412160509","569"
"88","-1.5","-5e-04","-5e-04","-2","0.2","0.2","NaN","-2.28082386610744","-0.000202330085990147","-3.4765734360079","0.000121967356813977","0.212122119148601","0.242636531692778","0","1766.66232744717","-864.489976206704","379"
"89","-2","-0.00035","-5e-05","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","583"
"90","-1","-5e-04","-5e-04","-4","0.2","0.2","NaN","0.401903430760561","-0.758662551225089","-4.43126227695417","0.314749301372626","0.285892202231356","0.242814177504876","0","2086.0380975998","-1024.17786128302","130"
"91","-1","-5e-04","-2e-04","-5","0.2","0.2","NaN","0.416610247969389","-0.872142196613787","-4.62140273747267","0.313533015411715","0.28584939097726","0.242877271608685","0","2085.94985162814","-1024.13373829719","55"
"92","-2.5","-5e-05","1e-04","-2","0.2","0.2","NaN","-2.2803856008123","-0.000202414477183229","-3.47725604370194","0.000122645503401205","0.212090264001102","0.242662405887362","0","1766.66244366164","-864.490034313942","492"
"93","-3","-5e-04","-5e-05","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","451"
"94","-2.5","-5e-04","-2e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","427"
"95","-2","-5e-04","-5e-05","-4","0.2","0.2","NaN","-2.30893916047594","-0.000194644334623624","-3.80891800386145","0.000197994548512955","0.212390223108025","0.241571331465363","0","1767.6731172537","-864.99537110997","203"
"96","-2.5","-0.00035","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","532"
"97","-3","-5e-04","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","401"
"98","-1","-0.00035","-5e-05","-4","0.2","0.2","NaN","0.391039603440865","-0.730812507061562","-4.43642781895869","0.315184073039411","0.285933689926715","0.242862015268516","0","2086.04568341231","-1024.18165418927","210"
