"","a_log","a12","h_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"49","-2.5","1e-04","-4","0.2","0.2","NaN","-2.28193725094069","-0.000204304644050173","-3.25454447033945","0.212394125209012","0.242611795905171","0","1761.54802479526","-865.073022800227","47"
"50","-1","-5e-04","-3","0.2","0.2","NaN","-2.28187386448663","-0.000204345008543745","-3.25563600946178","0.212329011814081","0.242668586065577","0","1761.54788316971","-865.072951987454","55"
"51","-1","1e-04","-5","0.2","0.2","NaN","-2.24208842827083","-0.000213480213740324","-3.10053635846755","0.212670139212773","0.242860943178515","0","1762.27580930178","-865.43691505349","25"
"52","-2","-5e-05","-2","0.2","0.2","NaN","-2.28243972643936","-0.000204146923534498","-3.2567637371703","0.212321321779112","0.242592173710593","0","1761.54796637633","-865.072993590767","93"
"53","-2","-2e-04","-5","0.2","0.2","NaN","-2.28256410772595","-0.000204139548504649","-3.25739168254151","0.212322180489868","0.24264917066456","0","1761.54792552074","-865.072973162968","13"
"54","-2.5","-5e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","2"
"55","-2","-5e-04","-5","0.2","0.2","NaN","-2.53331488409154","-0.000156773888243643","-4.81294182132091","0.218545957770588","0.242591202190935","0","1791.61335071446","-880.105685759829","3"
"56","-3","-2e-04","-5","0.2","0.2","NaN","-2.28131179283769","-0.000204534901202449","-3.25459709905362","0.212302796157208","0.242713774436218","0","1761.54816053972","-865.073090672459","11"
"57","-1.5","-2e-04","-5","0.2","0.2","NaN","-2.51420668576197","-0.000160621828610564","-4.70408237686885","0.217926193206349","0.242739493526996","0","1789.23874567389","-878.918383239546","14"
"58","-1.5","1e-04","-2","0.2","0.2","NaN","-2.28199794591463","-0.000204244778337424","-3.25551717746254","0.212369807556835","0.242661027166668","0","1761.5478798504","-865.072950327798","99"
"59","-1","-5e-05","-3","0.2","0.2","NaN","-2.2807000449205","-0.000204588114370215","-3.2535243090506","0.212407901134022","0.242622335671209","0","1761.5484291513","-865.073224978248","70"
"60","-2.5","-0.00035","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","82"
"61","-2.5","-0.00035","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","57"
"62","-2","-2e-04","-2","0.2","0.2","NaN","-2.28207156654272","-0.000204252419388718","-3.25640647923553","0.212347967132737","0.242660522421031","0","1761.54784902","-865.0729349126","88"
"63","-2.5","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","27"
"64","-2","-5e-04","-4","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","28"
"65","-2.5","1e-04","-1","0.2","0.2","NaN","-2.28199723736902","-0.000204251062469806","-3.25686540828268","0.21234016228937","0.24266961449251","0","1761.54788116261","-865.072950983905","122"
"66","-1","-5e-04","-4","0.2","0.2","NaN","-2.28234082769817","-0.000204312609582758","-3.2569997232283","0.212368155504164","0.242648977563757","0","1761.54796565319","-865.072993229196","30"
"67","-2.5","1e-04","-2","0.2","0.2","NaN","-2.28138727960893","-0.000204533504092341","-3.25593034762009","0.212296109033634","0.242567766009016","0","1761.54823646123","-865.073128633216","97"
"68","-1.5","-5e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","79"
"69","-2.5","-2e-04","-3","0.2","0.2","NaN","-2.28197619286969","-0.000204128228330029","-3.25455105544333","0.212325289873947","0.24262243410243","0","1761.54808208938","-865.073051447288","62"
"70","-1.5","-5e-04","-3","0.2","0.2","NaN","-2.28208592956764","-0.000204201426793311","-3.25596639671034","0.212361005002235","0.242647170720874","0","1761.547870699","-865.072945752099","54"
"71","-2","-2e-04","-3","0.2","0.2","NaN","-2.28184505744038","-0.000204291626568259","-3.25438688933214","0.212406276057043","0.242663684313903","0","1761.54802913216","-865.073024968677","63"
"72","-2.5","1e-04","-3","0.2","0.2","NaN","-2.28171731330612","-0.000204377482377312","-3.25519764990884","0.212371093645206","0.242647039607915","0","1761.54790915879","-865.072964981995","72"
"73","-2","-5e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","78"
"74","-2","-0.00035","-5","0.2","0.2","NaN","-2.28180675714221","-0.000204413043054601","-3.25622067961687","0.212329018924728","0.242629144528964","0","1761.54793203997","-865.072976422586","8"
"75","-2.5","-2e-04","-4","0.2","0.2","NaN","-2.28166766482101","-0.00020436253817867","-3.25527974156246","0.212342863587953","0.242660468938788","0","1761.54789384487","-865.072957325033","37"
"76","-1.5","-2e-04","-2","0.2","0.2","NaN","-2.2823036237037","-0.000204187350886729","-3.25675255710772","0.212347862022791","0.242577121235263","0","1761.54796675741","-865.072993781303","89"
"77","-2","1e-04","-2","0.2","0.2","NaN","-2.28181347928138","-0.000204332243274936","-3.25527727629721","0.212329996261847","0.242667777022064","0","1761.54788864326","-865.072954724229","98"
"78","-2","1e-04","-1","0.2","0.2","NaN","-2.28197682270432","-0.000204260089268297","-3.25716552698231","0.212318413039837","0.242729606806902","0","1761.54802393131","-865.073022368256","123"
"79","-2.5","-5e-04","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","102"
"80","-1","-0.00035","-2","0.2","0.2","NaN","-2.28168050457389","-0.000204383203560529","-3.25544160764646","0.21235259646946","0.242659352143952","0","1761.54789309131","-865.072956948252","85"
"81","-1","1e-04","-3","0.2","0.2","NaN","-2.28063477094906","-0.000204662917815147","-3.2531081261699","0.212217288663927","0.242821059662395","0","1761.54931261119","-865.073666708197","75"
"82","-3","1e-04","-5","0.2","0.2","NaN","-2.28193381495173","-0.000204239230774181","-3.25417758410108","0.212370515423084","0.242655447219828","0","1761.54800091055","-865.073010857877","21"
"83","-3","-5e-05","-5","0.2","0.2","NaN","-2.28207520338604","-0.000204253690562505","-3.25592459048","0.212373754534844","0.242643346256753","0","1761.54786973614","-865.072945270668","16"
"84","-2.5","-0.00035","-1","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","107"
"85","-1","-2e-04","-2","0.2","0.2","NaN","-2.28172944359044","-0.000204246201088289","-3.25526756820194","0.212358745246428","0.24266110914179","0","1761.54794118708","-865.072980996139","90"
"86","-2","-2e-04","-1","0.2","0.2","NaN","-2.28199135530843","-0.000204273384859661","-3.25615734322471","0.212364839075889","0.242660806861941","0","1761.54785704225","-865.072938923725","113"
"87","-2","-5e-05","-5","0.2","0.2","NaN","-2.2824775696842","-0.000204047104992301","-3.25793449077013","0.212279025699941","0.242613614644347","0","1761.54815113544","-865.073085970317","18"
"88","-3","1e-04","-1","0.2","0.2","NaN","-2.28190958897021","-0.000204345299094893","-3.2562230069192","0.212324606355438","0.242670580859331","0","1761.54788542239","-865.072953113792","121"
"89","-1","-0.00035","-4","0.2","0.2","NaN","-2.28195816559712","-0.000204295005104908","-3.2562675052603","0.212392230332334","0.242654654983151","0","1761.54789915323","-865.072959979214","35"
"90","-3","-5e-05","-1","0.2","0.2","NaN","-2.28192752799562","-0.00020427305201064","-3.25673412422317","0.212280338866835","0.242668853660088","0","1761.54798808134","-865.073004443268","116"
"91","-1","-2e-04","-1","0.2","0.2","NaN","-1.69184424733791","-0.000376055825227057","-0.131836825346588","0.274330796615426","0.242668717730614","0","2020.28273029771","-994.440375551456","115"
"92","-1.5","-5e-05","-5","0.2","0.2","NaN","-2.39074999967506","-0.000181591692765948","-3.7577243529849","0.213138678825905","0.242248492260438","0","1767.18950745836","-867.893764131782","19"
"93","-1.5","-5e-05","-4","0.2","0.2","NaN","-2.28205216470655","-0.000204284742941777","-3.2562955731203","0.212347761748555","0.24267138606441","0","1761.54785603749","-865.072938421346","44"
"94","-1","-2e-04","-3","0.2","0.2","NaN","-2.282190531064","-0.000204211186954268","-3.2568589097906","0.212352415740814","0.242645538331535","0","1761.54786044508","-865.072940625139","65"
"95","-3","-2e-04","-2","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","86"
"96","-3","-5e-04","-5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","1"
"97","-1","-0.00035","-1","0.2","0.2","NaN","-2.28246833991238","-0.000204055040287246","-3.2571998245688","0.212403432521008","0.2427091354859","0","1761.54808599776","-865.073053401481","110"
"98","-1","1e-04","-1","0.2","0.2","NaN","-1.57421455390977","-0.000417872134952762","1.31886617422227","0.286896380051102","0.245465594700237","0","2081.37537421222","-1024.98669750871","125"
