"","a_log","a12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"87","-2","-5e-04","-4","-2","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","99403","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"88","-1.5","-0.00035","-3","-2","-0.5","0.005","0.001","5e-04","0.005","-15","0.2","0.2","67184","NaN","-1.19768979609987","-0.000624188104339269","-1.08078698734891","-1.02412245695159","-2.10789881205512","0.00183443746833145","0.00196513324352545","0.00178580584773983","0.00210140707963143","-15.0162028113874","0.32141082948726","0.289246004022371","0","2171.25750261207","-1047.94637627227"
"89","-1.5","-5e-05","-3","-0.5","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","268069","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-1","1e-04","-2","-2","-3","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","21475","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","-2.5","-5e-04","-5","-2","-3","0.005","0.001","5e-04","0.005","-15","0.2","0.2","66377","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"92","-1","-5e-05","-3","-2","-1","0.005","0.005","0.001","0.001","-10","0.2","0.2","141070","NaN","-3.76001094683558","-3.71557948960036e-05","-1.894337077362","-11.3830822074758","-4.49368875014757","0.15525955839503","0.0246422962767355","-0.00602035491758801","0.00422831161052446","-9.99268032007362","0.257212093230766","0.268722846992954","0","2121.59983801908","-1023.11754397578"
"93","-1","1e-04","-1","-1","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","145750","NaN","-0.92488449959328","-0.000843103165834088","-0.635966167467985","-0.924718015650331","-0.936359241652471","0.00384492198430593","0.00107838028815538","0.00249625881686956","0.0014557755800449","-9.9831192717575","0.427837621372806","0.331103213809786","0","2527.20288725007","-1225.91906859127"
"94","-3","-2e-04","-2","-0.5","-1","0.001","5e-04","0.005","0.005","-10","0.2","0.2","173961","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"95","-2","-5e-04","-5","-1","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","45503","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"96","-1.5","-5e-04","-5","-0.5","-3","0.005","0.001","0.005","5e-04","-5","0.2","0.2","208379","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"97","-1","-0.00035","-4","-0.5","-0.5","5e-04","0.005","0.001","0.005","-5","0.2","0.2","260910","NaN","-1.14005890192551","-0.000817057999544627","-3.55373918712334","-0.091051658364331","-0.43667052699023","0.00138542049078192","0.00231362738928204","0.00303786241444809","0.00137140698393005","-5.61703715275751","0.318714159228744","0.335117345616472","0","2603.13069601198","-1263.88297297223"
"98","-1.5","-5e-05","-2","-0.5","-3","0.001","0.001","0.005","0.001","-15","0.2","0.2","55469","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
