"","a_log","a12","h_log","r1_log","r2_log","alpha11","alpha22","alpha12","alpha21","c_log","sigma","sigma2","strtpt","error","a_log.est","a12.est","h_log.est","r1_log.est","r2_log.est","alpha11.est","alpha12.est","alpha22.est","alpha21.est","c_log.est","sigma.est","sigma2.est","converge","BIC","logLik"
"49","-1","-2e-04","-4","-1","-1","0.001","5e-04","0.001","0.005","-10","0.2","0.2","163665","NaN","-1.06850249794765","-0.000839672323271524","-4.02617250538249","-1.03562597225223","-1.05955354834675","0.00047177621874691","0.0038347167943191","0.00667396668566063","0.000206381278745644","-9.97948436470116","0.578797317057993","0.838446102310909","0","3782.69376511454","-1853.84703110371"
"50","-2","-0.00035","-3","-1","-3","5e-04","5e-04","5e-04","5e-04","-5","0.2","0.2","182433","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"51","-3","-0.00035","-3","-2","-3","0.005","0.001","0.005","0.005","-15","0.2","0.2","86681","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","-2","1e-04","-2","-0.5","-1","0.005","0.005","0.005","5e-04","-15","0.2","0.2","29973","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"53","-2.5","-0.00035","-2","-1","-3","5e-04","0.001","5e-04","5e-04","-15","0.2","0.2","3582","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54","-2.5","-5e-05","-2","-0.5","-0.5","5e-04","0.005","0.005","5e-04","-15","0.2","0.2","28092","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"55","-1.5","1e-04","-2","-0.5","-3","5e-04","0.001","0.001","0.005","-15","0.2","0.2","74599","NaN","-1.33070564095012","-0.000554526368424428","-1.65472565254207","-0.328577556625018","-2.81129770671471","0.000681106296325584","0.0032305546460854","0.0118141846187071","-0.000975188119709055","-15.3296078839857","0.581982522541151","0.291838078320186","0","3219.46884561072","-1572.2345713518"
"56","-1.5","1e-04","-2","-2","-0.5","5e-04","5e-04","0.001","5e-04","-15","0.2","0.2","10974","NaN","-1.44296572894473","-0.000571388699580222","-1.98522192410302","-1.6903010742523","-0.441710666237478","0.00128264059307216","0.00715714687497157","0.00470006907918851","0.000334275190072841","-14.9015746897067","0.721902529109386","0.557836273866014","0","3715.48043236867","-1820.24036473078"
"57","-1","1e-04","-2","-2","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","145600","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"58","-2","-5e-05","-1","-2","-0.5","0.001","5e-04","5e-04","0.001","-15","0.2","0.2","32368","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"59","-2.5","-5e-05","-1","-1","-0.5","0.001","5e-04","5e-04","5e-04","-15","0.2","0.2","2117","NaN","-2.46494930721725","-0.000236464394647573","-0.774979822158742","-0.802336327408323","-0.312119772153959","0.000532860947622446","0.00559893639269783","0.00579420890725396","0.000351663468807525","-15.0353365589107","0.516917763997782","0.612317406958803","0","3759.91976985861","-1842.46003347575"
"60","-2.5","1e-04","-4","-2","-1","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","21797","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"61","-3","1e-04","-5","-2","-0.5","0.001","5e-04","0.005","5e-04","-10","0.2","0.2","113271","NaN","-2.17996625673232","7.37761701445977e-06","-7.01013345658595","-1.17761212258919","-3.89420483217884","0.000231912376755872","0.00200900871313363","0.021393425967195","-0.00335745649128321","-8.76033474222531","0.440962482793946","0.280562857188126","0","2945.82670767182","-1435.41350238236"
"62","-1","-5e-04","-2","-2","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","99455","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"63","-2.5","1e-04","-5","-2","-0.5","5e-04","0.005","0.001","0.005","-5","0.2","0.2","260647","NaN","-2.48542144603408","0.000218706729104556","-4.27149768000108","-1.23429875411258","-0.748239836189806","0.000597179505861735","0.00205223498026039","0.00473068183656017","0.000287650823866911","-6.234453535291","0.399126463132669","0.351673527729108","0","3352.98414358627","-1638.99222033958"
"64","-1.5","1e-04","-2","-0.5","-3","5e-04","0.005","0.005","0.005","-15","0.2","0.2","88099","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"65","-1","-2e-04","-3","-2","-3","5e-04","0.005","5e-04","0.005","-10","0.2","0.2","158690","NaN","-1.67732720073386","-0.000241097802695251","-3.30771360926952","-1.5479573323971","-2.22269264921474","0.000647616764626812","0.00303634888310644","0.00705710435152176","-0.00034204902691786","-9.99099924888252","0.441773450200671","0.288492489084653","0","2976.5152937138","-1450.75779540334"
"66","-1.5","-5e-04","-2","-1","-1","5e-04","0.005","0.005","0.001","-10","0.2","0.2","149079","NaN","-1.4317539605103","-0.00051698526037504","-2.00147267339831","-0.857598686321223","-0.810176176896113","0.00058805904377556","0.0046229269321434","0.00504317317885488","0.000247499681800275","-9.92729944287088","0.521754238943035","0.406358389303472","0","3354.22683943106","-1639.61356826197"
"67","-1.5","-5e-04","-2","-1","-0.5","0.005","0.005","0.001","0.005","-5","0.2","0.2","263079","NaN","-1.5070425252185","-0.000545926762236731","-2.04776639026807","-0.990063760501456","-0.461984943084717","0.00063973362068051","0.00546464087695821","0.00528455498989929","0.000325100339570316","-5.02460780283056","0.39944172402806","0.532864489474016","0","3548.36829082286","-1736.68429395787"
"68","-2.5","-0.00035","-2","-1","-3","0.001","0.005","0.005","0.001","-10","0.2","0.2","149832","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"69","-2.5","1e-04","-5","-1","-1","5e-04","0.005","0.001","5e-04","-15","0.2","0.2","17397","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"70","-3","-5e-04","-2","-1","-3","0.005","5e-04","0.001","5e-04","-5","0.2","0.2","194826","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"71","-2","-5e-05","-4","-0.5","-3","5e-04","0.001","0.001","0.001","-10","0.2","0.2","135293","NaN","-1.57238079318918","-0.00026006904972116","-4.17142271053202","-0.76442638391744","-2.87833329593677","0.000512160204254023","0.00253662538021062","0.0106172237002983","-0.00108771286205383","-9.79031365452689","0.418821625219818","0.283259523966992","0","2897.39938998386","-1411.19984353837"
"72","-1.5","-5e-05","-4","-0.5","-1","5e-04","5e-04","0.005","5e-04","-10","0.2","0.2","112044","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"73","-3","1e-04","-5","-2","-0.5","5e-04","5e-04","0.005","0.001","-5","0.2","0.2","233646","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"74","-1.5","-0.00035","-3","-2","-1","0.005","0.001","0.005","0.001","-10","0.2","0.2","147809","NaN","-1.51955521484685","-0.000495006226969201","-2.77714752213645","-1.9826877881949","-0.975823804623142","0.000977538592540962","0.00561152453119904","0.00484636735047066","0.000222118906661559","-9.9837050461877","0.688808793127313","0.408139663775994","0","3398.95844987723","-1661.97937348506"
"75","-2","1e-04","-4","-2","-1","5e-04","5e-04","0.001","0.001","-15","0.2","0.2","40923","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"76","-1","-2e-04","-1","-0.5","-3","5e-04","5e-04","0.005","0.001","-10","0.2","0.2","142115","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"77","-2.5","1e-04","-1","-0.5","-0.5","0.005","0.005","0.001","0.005","-5","0.2","0.2","263247","NaN","-2.80882497623881","-0.00012054513885001","-0.987867274009835","-2.96340557716385","-1.59335691790708","0.00265225269492255","0.0203473815606956","0.0050219736584978","2.81794441047956e-05","-2.3951950290309","0.506330524781884","0.36235098646809","0","3273.93227353484","-1599.46628531386"
"78","-3","-5e-04","-2","-2","-0.5","5e-04","0.001","0.001","0.001","-10","0.2","0.2","135826","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"79","-3","-5e-05","-4","-0.5","-3","0.005","0.001","5e-04","0.001","-15","0.2","0.2","36291","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"80","-1","-2e-04","-3","-1","-3","0.005","0.005","0.005","0.005","-10","0.2","0.2","181315","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"81","-1.5","-5e-05","-5","-0.5","-0.5","0.001","5e-04","5e-04","0.005","-5","0.2","0.2","245144","NaN","-1.66431214562052","-0.000438743312274392","-5.37100169465769","-0.457716986217446","-0.579999624577463","0.000360351937122648","0.00383787467163005","0.00509522438814569","0.000303664590949763","-5.06161534206816","0.4081920576843","0.416787903227664","0","3691.26149587428","-1808.13089648358"
"82","-1","-0.00035","-1","-1","-1","0.005","0.005","0.001","0.001","-5","0.2","0.2","232360","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"83","-1.5","-5e-04","-3","-1","-3","5e-04","0.001","5e-04","5e-04","-5","0.2","0.2","185804","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"84","-1","-5e-04","-3","-1","-1","5e-04","0.001","5e-04","0.005","-15","0.2","0.2","64680","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"85","-2","1e-04","-2","-2","-3","5e-04","5e-04","0.001","5e-04","-5","0.2","0.2","192473","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"86","-2","-2e-04","-3","-1","-0.5","5e-04","5e-04","0.001","0.005","-10","0.2","0.2","162938","NaN","-1.43898274563082","-0.000491800197050084","-1.80576584639122","-1.41728270490681","-1.53603448647532","0.000774157456385995","0.00456895249007747","0.0046711021548832","0.000109037108160785","-9.58219349642804","0.463843241028772","0.956214235589094","0","3826.80855064251","-1875.9044238677"
"87","-2","-5e-04","-4","-2","-1","0.001","0.005","5e-04","5e-04","-10","0.2","0.2","99403","NaN","-2.14515143411246","1.80145993773772e-05","-4.00144788014045","-1.83561280019289","-0.999361204056749","0.000665220011442322","0.00212773120054431","0.00480383317574224","0.000228559941874509","-9.4248845986671","0.44693763703369","0.35845288820025","0","3211.34856267999","-1568.17442988644"
"88","-1.5","-0.00035","-3","-2","-0.5","0.005","0.001","5e-04","0.005","-15","0.2","0.2","67184","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"89","-1.5","-5e-05","-3","-0.5","-3","0.001","0.001","0.005","0.005","-5","0.2","0.2","268069","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"90","-1","1e-04","-2","-2","-3","0.001","5e-04","0.005","5e-04","-15","0.2","0.2","21475","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"91","-2.5","-5e-04","-5","-2","-3","0.005","0.001","5e-04","0.005","-15","0.2","0.2","66377","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"92","-1","-5e-05","-3","-2","-1","0.005","0.005","0.001","0.001","-10","0.2","0.2","141070","NaN","-1.45436853891679","-0.000384723299668741","-2.86891433466307","-1.09311653521868","-3.95948552690333","0.000623088178599369","0.00322875229200003","0.0260599158581053","-0.00398002050120732","-5.45580396871124","0.434216298143965","0.277870936356938","0","2948.53388477803","-1436.76709093546"
"93","-1","1e-04","-1","-1","-1","5e-04","0.001","0.005","0.001","-10","0.2","0.2","145750","NaN","-1.03105355519474","-0.00078173495810939","-0.996896886323747","-0.946161718853768","-1.02367236746717","0.000740040010591855","0.00445091398251598","0.00512153834337966","0.000253338594858874","-9.99699702673383","0.714143204436848","0.455593568966346","0","3513.54959790779","-1719.27494750034"
"94","-3","-2e-04","-2","-0.5","-1","0.001","5e-04","0.005","0.005","-10","0.2","0.2","173961","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"95","-2","-5e-04","-5","-1","-1","0.001","0.001","0.001","0.001","-15","0.2","0.2","45503","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"96","-1.5","-5e-04","-5","-0.5","-3","0.005","0.001","0.005","5e-04","-5","0.2","0.2","208379","NaN","-1.23782827764638","-0.000478213231587618","-5.07361005476479","-0.207762763008505","-6.84465569455454","0.000419273300624027","0.00243290776552653","0.285292977610445","-0.0138843119372465","-6.56996321254865","0.477754905195943","0.290078554211609","0","2988.51302299288","-1456.75666004288"
"97","-1","-0.00035","-4","-0.5","-0.5","5e-04","0.005","0.001","0.005","-5","0.2","0.2","260910","NaN","-0.940456860573301","-0.000888451631783883","-3.84617044012718","-0.763710954288116","-0.593553038152504","0.000590798524436589","0.00227000104374782","0.00449214545007495","0.00027465160651892","-4.91620329583885","0.455394845810682","0.432125557600883","0","3564.93231900577","-1744.96630804933"
"98","-1.5","-5e-05","-2","-0.5","-3","0.001","0.001","0.005","0.001","-15","0.2","0.2","55469","NaN","-0.949583971062247","-0.000812069699511605","-1.76159434483682","-0.60980204153689","-3.07130148115257","0.000593385769572289","0.00375379671025274","0.0147755147249788","-0.00162215438943255","-15.0784364973299","0.569487122612222","0.306886027849723","0","3149.88928753983","-1537.44479231636"
